Date,Open,High,Low,Close,Adj Close,Volume
11/22/2019,2.04,2.05,1.88,1.94,1.94,25152300
11/25/2019,1.99,2.12,1.96,2.05,2.05,36836400
11/26/2019,2.12,2.29,2.12,2.28,2.28,55122700
11/27/2019,2.32,2.5,2.28,2.46,2.46,77368600
11/29/2019,2.36,2.36,2.2,2.27,2.27,32640300
12/2/2019,2.35,2.44,2.3,2.44,2.44,32677500
12/3/2019,2.31,2.48,2.25,2.4,2.4,37865200
12/4/2019,2.42,2.58,2.41,2.42,2.42,46792900
12/5/2019,2.53,2.57,2.25,2.27,2.27,53235200
12/6/2019,2.32,2.34,2.2,2.26,2.26,31931900
12/9/2019,2.21,2.25,2.11,2.22,2.22,31542900
12/10/2019,2.2,2.28,2.14,2.27,2.27,25220200
12/11/2019,2.26,2.32,2.23,2.26,2.26,20342900
12/12/2019,2.3,2.33,2.26,2.27,2.27,22457900
12/13/2019,2.31,2.43,2.29,2.39,2.39,37228900
12/16/2019,2.44,2.55,2.39,2.48,2.48,36916800
12/17/2019,2.54,2.63,2.5,2.59,2.59,45654500
12/18/2019,2.58,2.67,2.54,2.63,2.63,31811100
12/19/2019,2.69,2.73,2.61,2.62,2.62,36301300
12/20/2019,2.65,2.72,2.63,2.69,2.69,50971500
12/23/2019,2.74,2.76,2.65,2.67,2.67,28571900
12/24/2019,2.63,2.63,2.45,2.53,2.53,32029800
12/26/2019,2.45,2.52,2.35,2.51,2.51,44173700
12/27/2019,2.54,2.55,2.41,2.42,2.42,37553300
12/30/2019,2.92,4.87,2.88,3.72,3.72,432720700
12/31/2019,4.15,4.42,3.82,4.02,4.02,215008600
1/2/2020,4.1,4.1,3.61,3.72,3.72,103740100
1/3/2020,3.5,3.9,3.48,3.83,3.83,82892400
1/6/2020,4.19,4.24,3.66,3.68,3.68,106619700
1/7/2020,3.7,3.73,3.21,3.24,3.24,106336400
1/8/2020,3.14,3.49,3.13,3.39,3.39,65118100
1/9/2020,3.44,3.58,3.33,3.46,3.46,54644200
1/10/2020,3.49,3.58,3.4,3.51,3.51,35626700
1/13/2020,3.71,3.73,3.52,3.7,3.7,59752700
1/14/2020,3.7,3.82,3.61,3.76,3.76,55194000
1/15/2020,4.19,4.48,4,4.29,4.29,236357900
1/16/2020,3.99,4.4,3.91,4.37,4.37,97941700
1/17/2020,4.51,4.71,4.46,4.67,4.67,109601300
1/21/2020,4.6,5.29,4.52,5.17,5.17,181423600
1/22/2020,5.42,5.65,4.69,4.79,4.79,207132700
1/23/2020,4.57,4.95,4.31,4.92,4.92,102535300
1/24/2020,5,5.06,4.51,4.66,4.66,65538000
1/27/2020,3.99,4.35,3.84,4.01,4.01,102028700
1/28/2020,4.25,4.27,4.03,4.21,4.21,48979100
1/29/2020,4.23,4.33,4.02,4.27,4.27,53844300
1/30/2020,4.24,4.38,4.01,4.08,4.08,75009800
1/31/2020,4.02,4.04,3.67,3.78,3.78,77923200
2/3/2020,3.54,4.11,3.52,4.06,4.06,74051600
2/4/2020,4.29,4.7,4.16,4.51,4.51,123640400
2/5/2020,4.37,4.48,4.13,4.39,4.39,73632500
2/6/2020,4.2,4.33,4.05,4.08,4.08,75641200
2/7/2020,4.02,4.02,3.74,3.81,3.81,80780700
2/10/2020,3.67,3.91,3.62,3.87,3.87,67157700
2/11/2020,3.83,4.05,3.8,3.96,3.96,54097100
2/12/2020,4,4.2,3.98,4.07,4.07,50975300
2/13/2020,3.95,4.05,3.86,4.03,4.03,42411200
2/14/2020,4.02,4.04,3.75,3.77,3.77,69655600
2/18/2020,3.9,3.98,3.76,3.8,3.8,47700900
2/19/2020,3.93,4.1,3.86,4.08,4.08,73256300
2/20/2020,4.1,4.4,4.01,4.26,4.26,86873500
2/21/2020,4.2,4.2,4.02,4.08,4.08,40425900
2/24/2020,3.79,3.94,3.76,3.88,3.88,56247100
2/25/2020,5.18,5.19,4.24,4.4,4.4,206259400
2/26/2020,4.5,4.71,4.3,4.34,4.34,69558500
2/27/2020,4.09,4.3,3.92,4.14,4.14,77846700
2/28/2020,3.96,4.14,3.87,4.13,4.13,63782000
3/2/2020,4.15,4.19,3.9,4.11,4.11,56063200
3/3/2020,4.08,4.21,3.95,4.06,4.06,47644500
3/4/2020,4.03,4.07,3.77,3.87,3.87,49465800
3/5/2020,3.78,3.89,3.68,3.72,3.72,72697800
3/6/2020,3.62,3.66,3.42,3.55,3.55,61238100
3/9/2020,3.01,3.54,2.99,3.29,3.29,55305300
3/10/2020,3.49,3.54,3.29,3.5,3.5,34928400
3/11/2020,3.4,3.53,3.26,3.32,3.32,31099400
3/12/2020,3.06,3.23,2.98,3.13,3.13,52438300
3/13/2020,3.28,3.33,2.99,3.11,3.11,41770400
3/16/2020,2.87,3.11,2.75,2.94,2.94,41266200
3/17/2020,2.97,3.12,2.79,2.9,2.9,34862200
3/18/2020,2.4,2.58,2.11,2.43,2.43,94431900
3/19/2020,2.3,2.55,2.23,2.38,2.38,35499000
3/20/2020,2.49,2.64,2.35,2.4,2.4,50528400
3/23/2020,2.34,2.37,2.15,2.37,2.37,47435200
3/24/2020,2.55,2.75,2.4,2.6,2.6,64750100
3/25/2020,2.72,2.99,2.6,2.76,2.76,56588300
3/26/2020,2.81,3.07,2.78,2.93,2.93,43579400
3/27/2020,2.85,2.89,2.76,2.84,2.84,25132000
3/30/2020,2.81,2.83,2.7,2.71,2.71,20115300
3/31/2020,2.83,2.88,2.68,2.78,2.78,30261400
4/1/2020,2.63,2.76,2.6,2.65,2.65,17153800
4/2/2020,2.51,2.59,2.22,2.39,2.39,58942700
4/3/2020,2.45,2.49,2.33,2.4,2.4,19519500
4/6/2020,2.48,2.55,2.4,2.47,2.47,34866700
4/7/2020,2.81,2.81,2.65,2.7,2.7,46149600
4/8/2020,2.76,2.8,2.71,2.74,2.74,18312900
4/9/2020,2.82,2.82,2.63,2.67,2.67,32810000
4/13/2020,2.67,2.97,2.63,2.97,2.97,38421700
4/14/2020,3.15,3.16,2.92,3.01,3.01,36479000
4/15/2020,2.95,3.2,2.88,3.2,3.2,27529800
4/16/2020,3.3,3.41,3.2,3.25,3.25,37801700
4/17/2020,3.36,3.36,3.15,3.21,3.21,22831800
